label,:label_DE:,:Definition_DE:,:Definition:,:Unit:,:Default:,:Type:,:Category:,:Restrictions:,internal_categorization,tooltip,Source/related requirements,Ease of oemof implementation,ref,Rational
Demand profile,Lastzeitreihe,Die Bedarfszeitreihe des Energieverbrauchs mit Zeitstempel,The energy demand time serie with timestep (if different energy types are considered different profiles must be given),,,timeseries,Technical,,data,,,component/constraint exists,,
Energy timeseries,Feed-in Zeitreihen,"Spezifische Erzeuger/Feed-in-Zeitreihen z.B. von Wind, PV, Hydro","Specific timeseries of energy sources from a primary-secondary transformation (e.g. PV, Wind)",kWh,,timeseries,Technical,between 0 and 1 (normalized with maximum),data,,OP_IN_07,component/constraint exists,,
Source power mix,Anteil Energieerzeuger am Energiemix,Anteil jedes Energieerzeugers am Energiemix (inkl. % Netzbezug),Percentage of each source of power (inclusive % from Grid),Percentage,,array,Technical,,constraint,,OP_IN_05,component/constraint exists,,
Lower bound renewable energy share ,min. EE-Anteil,"Eine Randbedingung, welche den minimalen Anteil EE-Energieerzeuger im Bezug auf den optimierten Energiemix festlegt",A constraint that specifies the lower bound on the share of renewable energies in the optimized output energy mix,Percentage,None,float,Technical,,constraint,,,component/constraint exists,,
CO2 upper limit,max. CO2-Emissionen,"Eine Randbedingung, welche die maximale Masse an CO2-Emissionn festlegt",A constraint that specifies an upper bound on the CO2 emissions,T of CO2,None,float,Environmental,,constraint,,,component/constraint exists,,
Energy sources capacities,Erzeugerkapazitäten,"Erzeugertechnologien, die Entscheidungsvariablen der Optimierung sind mit bereits installierte Kapazitäten",Energy sources with their capacity open for optimization ,kW,None,float,Technical,,component,,,?,,A user can select 
Storage units,Speichereinheiten,Energiespeichereinheiten mit Technologie und installierter Kapazität pro Einheit,Energy storage units with their capacity and technology,kW,None,float,Technical,,component,,,?,,If the user know already that they are going to use a commercial model
Existing energy source infrastructure,installierte Erzeugerkapazitäten,"installierte Erzeugerkapazität, die keine Entscheidungsvariable der Optimierung ist",Existing energy infrastructure not up for optimization (with given capacities),kW,None,float,Technical,,component,,,component/constraint exists,,
Existing energy storage infrastructure,installierte Speicherkapazitäten,"installierte Speicherkapazität, die keine Entscheidungsvariable der Optimierung ist",Existing storage infrastructure not up for optimization (with given capacities),kW,None,float,Technical,,component,,,,,
GPS coordinates,Ortskoordinaten,"GPS Koordinaten des Projektortes, um Wetterdaten aus anderen Quellen abrufen zu können, falls diese nicht in den Feed-in Zeitreihen gegeben sind","GPS coordinate of the location, to retrieve the weather conditions in case of missing timeseries. Could be a point, a set of points, or a polygon",,None,array,GIS,,project,,,function exists,,
Grid parameters (v2.0 of the tool),Netzparameter,"Netzparameter, wie z.B.: Leistung, Spannung, Frequenz, Leitungslänge, Impedanz der Leitung, Trafos, Netztopologie","Grid parameters such as:  power, voltage, frequence, line length, line impedance, transformers, topology",,None,,Technical,,hidden,,,"I'm not sure about this. There are components which represent also the electrical characteristics of the grid (not only energy characteristics) and people are further developing it right now. Not sure, what is already there and what is missing, but I think it's not that difficult to implement more if something is missing, even though we have a lot of experience with grid tools like Dingo and so on...",,
Degree of Autonomy (DA),Autarkiegrad,Gewünschter Autarkiegrad (Grad der Selbstversorgung) der Energiezelle,Degree of Autonomy or self sufficiency wished (capability of the system to sustain a certain part of the load),factor,None,float,Constraint,between 0 and 1,constraint,,,component/constraint exists,,
Temporal resolution of simulation,zeitliche Auflösung,Zeitliche Auflösung der Simulation ,Time step of the simulation. The user should be aware that a higher resolution require more data and can lead to longer simulation times (might be already in the provided timeseries),,,float,Time,,scenario,,"OP_IN_01, OP_IN_02",time steps are flexible, it's always a matter of data,
